id,title,abstract,authors,year,categories
2301.00234,Deep Learning for Medical Image Analysis: A Comprehensive Survey,"This paper presents a comprehensive survey of deep learning techniques applied to medical image analysis. We review the state-of-the-art methods for various medical imaging modalities including MRI, CT, X-ray, and ultrasound. The survey covers applications in disease detection, segmentation, classification, and prediction. We discuss the challenges specific to medical imaging such as limited annotated data, class imbalance, and interpretability requirements. Future directions including federated learning, explainable AI, and multi-modal fusion are explored.","John Smith, Jane Doe, Alice Johnson",2023,"cs.CV, cs.AI, cs.LG"
2302.01567,Transformer Models in Healthcare: Applications and Challenges,"Transformer architectures have revolutionized natural language processing and are now being applied to healthcare data. This paper reviews the application of transformers to electronic health records, clinical notes, medical imaging, and genomics data. We analyze the benefits of self-attention mechanisms for capturing long-range dependencies in medical data and discuss adaptations needed for healthcare-specific challenges. Case studies include BERT for clinical text mining and Vision Transformers for radiology image analysis.","Michael Chen, Sarah Williams, David Brown",2023,"cs.CL, cs.AI, cs.LG"
2303.02890,Federated Learning for Privacy-Preserving Medical AI,"As medical data privacy becomes increasingly important, federated learning offers a promising approach for training AI models without centralizing sensitive patient data. This paper presents a comprehensive framework for implementing federated learning in healthcare settings. We address challenges including data heterogeneity across institutions, communication efficiency, and model convergence. Our experiments on multi-institutional datasets demonstrate that federated models can achieve performance comparable to centralized training while preserving patient privacy.","Emily Davis, Robert Taylor, Lisa Anderson",2023,"cs.LG, cs.CR, cs.DC"
2304.03421,AI-Assisted Diagnosis of Brain Tumors Using Multi-Modal MRI,"We present a novel deep learning approach for brain tumor detection and classification using multi-modal MRI data. Our method combines T1-weighted, T2-weighted, and FLAIR sequences using a multi-branch CNN architecture with attention mechanisms. The model achieves state-of-the-art performance on the BraTS dataset with 98.5% accuracy for tumor detection and 94.2% for grade classification. We also introduce an interpretability module that highlights regions contributing to the diagnosis, aiding radiologist decision-making.","James Wilson, Maria Garcia, Thomas Lee",2023,"cs.CV, cs.AI, eess.IV"
2305.04567,Natural Language Processing for Clinical Decision Support Systems,"This paper explores the application of NLP techniques to extract actionable insights from unstructured clinical notes for decision support. We develop a pipeline that includes named entity recognition for medical concepts, relation extraction for drug-disease associations, and sentiment analysis for patient outcomes. Our BERT-based model, fine-tuned on clinical corpora, demonstrates superior performance in extracting clinically relevant information. Integration with existing EHR systems and real-world deployment considerations are discussed.","Patricia Martinez, Kevin Johnson, Jennifer White",2023,"cs.CL, cs.AI, cs.IR"
2306.05678,Explainable AI in Medical Diagnosis: A Survey of Methods and Applications,"The black-box nature of deep learning models poses challenges for their adoption in clinical practice where interpretability is crucial. This survey reviews explainable AI (XAI) methods specifically designed for medical applications. We categorize approaches into post-hoc explanations (LIME, SHAP, GradCAM) and inherently interpretable models. Case studies across radiology, pathology, and genomics illustrate how XAI can enhance physician trust and facilitate regulatory approval. We also discuss the trade-offs between model performance and interpretability.","Daniel Kim, Rachel Green, Christopher Hall",2023,"cs.AI, cs.LG, cs.CV"
2307.06789,Graph Neural Networks for Drug Discovery and Molecular Property Prediction,"Graph neural networks (GNNs) have emerged as powerful tools for molecular representation learning. This paper presents a comprehensive framework for applying GNNs to drug discovery tasks including molecular property prediction, drug-target interaction, and lead optimization. We introduce a novel architecture that combines message passing with transformer-style attention for capturing both local and global molecular features. Experiments on benchmark datasets show significant improvements over traditional fingerprint-based methods.","Andrew Thompson, Sophia Lee, Mark Robinson",2023,"cs.LG, q-bio.QM, cs.AI"
2308.07890,Reinforcement Learning for Personalized Treatment Recommendations,"We propose a reinforcement learning framework for learning optimal treatment policies from observational health data. Our approach models treatment selection as a sequential decision-making problem, accounting for time-varying patient states and long-term outcomes. The method addresses challenges including censored data, treatment effect heterogeneity, and safety constraints. Evaluation on sepsis treatment and cancer therapy datasets demonstrates the potential for RL to discover personalized treatment strategies that outperform standard protocols.","Nicole Adams, Brian Clark, Emma Harris",2023,"cs.LG, cs.AI, stat.ML"
2309.08901,Multi-Modal Fusion for Early Disease Detection Using Wearable Sensors,"This paper presents a deep learning framework for early disease detection by fusing data from multiple wearable sensors including ECG, accelerometer, and photoplethysmography. We develop a temporal convolutional network with cross-modal attention mechanisms to capture physiological patterns indicative of disease onset. The model is evaluated for detecting atrial fibrillation, sleep apnea, and early signs of Parkinson's disease. Results show that multi-modal fusion significantly improves detection accuracy compared to single-sensor approaches.","Ryan Miller, Laura Scott, Jason Turner",2023,"cs.LG, eess.SP, cs.AI"
2310.09012,Automated Medical Report Generation from Imaging Studies,"We present an end-to-end deep learning system for generating structured medical reports from radiological images. Our approach combines a CNN encoder for image feature extraction with a transformer-based language model for report generation. The model is trained on a large dataset of paired images and reports, learning to identify key findings and generate coherent, clinically accurate descriptions. Evaluation by radiologists shows that generated reports achieve quality comparable to junior residents while significantly reducing reporting time.","Olivia Walker, Ethan Moore, Isabella Young",2023,"cs.CV, cs.CL, cs.AI" 
